gene_id,velocity_gamma,velocity_r2,velocity_genes,means,dispersions,dispersions_norm,highly_variable,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_diff_kinetics,fit_pval_kinetics
AT3G03500,0.056502957,0.8233038634061813,True,0.24343944028636244,0.5350389701437828,1.6338595610664783,True,3.4836444929952175,26.740149693263483,1.4056608788231806,9.406777272735013,0.024532064683735373,0.041591476649045944,0.801072895526886,0.38344325148637454,0.0,0.0,0.47003509977046576,0.09710339720190028,1.8555881786802462,0.32239350191834976,0.6859849354620574,,
AT3G23430,0.21138428,0.8828820660710335,True,0.04486106611287583,0.35860772072885383,2.8076941600573235,True,1.1241487783985038,5.548141616209745,0.9542042075019994,4.85110483918548,0.08590979050844909,0.058602288365364075,0.3223099708557129,0.3064240137716806,0.0,0.0,0.42161135507853653,0.14482189636560586,0.7033425041811605,0.33952512963882975,0.9441093873290777,,
AT1G21310,0.28156215,0.9487760737538338,True,0.4852128071321067,0.5486366070506754,1.8762787795467724,True,3.4325096396893264,4.729401956297122,1.124669030558996,8.399401263619307,0.11964962862432003,0.20533818006515503,0.8108866810798645,0.5085654785424701,0.0,0.0,0.4812430051670976,0.7359484514631303,2.977923171731226,0.19649659841793013,0.834995685028797,Cortex,7.758928370894374e-22
AT1G09932,0.6604682,0.861463338136673,True,0.04323837743580236,0.083339295769842,1.4760550925468345,True,0.17911802478495925,0.5757294691424557,0.31191557686370003,16.761660675975634,0.2769069510698318,0.07973482459783554,0.13605546951293945,0.22828953140445324,0.0,0.0,0.41699650326659654,0.23686576582919533,0.3945863171849914,0.4933814705484154,2.8226705770923544,"Pericycle,Phloem",0.006203891559539364
AT1G03920,0.08583675,0.6732738614082336,True,0.03347066964936629,0.3169123410049211,2.6059885100782494,True,0.9522507300915133,7.352783767250277,0.5203884475347452,8.290978509960329,0.038659574277699,0.032085418701171875,0.4357224404811859,3.813835596442704e-09,0.0,0.0,0.4721309137876468,0.09095847847004429,1.004976645104009,0.587995050950149,1.7589809774718783,,
AT4G33730,0.0,0.0,False,0.03983150764783389,0.4219793240276672,3.114260751325618,True,,,,,,,,,,,,,,,,,
AT4G22710,0.0,0.0,False,0.02227379786798681,0.32849943453981834,2.6620422562798525,True,,,,,,,,,,,,,,,,,
AT4G15160,0.0036039671,0.2869213819503784,False,0.5716841763457391,0.6713964086302716,1.8295163399038634,True,,,,,,,,,,,,,,,,,
AT5G42380,0.0,0.0,False,0.2657185250266987,0.38950455251351734,1.1977748142962101,True,,,,,,,,,,,,,,,,,
AT1G56060,0.32348955,0.4160473346710205,True,0.01774668692965091,0.09478950121956599,1.5314466286815887,True,0.044429469003814955,0.6994263880893368,0.20243095018602497,7.539138250783923,0.5225144259631636,0.01619911380112171,0.043945666402578354,0.11844952390755628,0.0,0.0,0.2706202808433654,0.051125451266089895,0.14645074826167448,1.170128189282824,3.324573809413616,"Cortex,Pericycle",0.00041049007420722127
AT1G15040,0.11703662,0.7496437430381775,True,0.09403492206225941,0.2688311720938195,1.293047543457374,True,1.752086351425453,13.912434373313419,1.255271472080382,5.202288690438293,0.0423031778074801,0.027267061173915863,0.3045559823513031,0.2397910336000682,0.0,0.0,0.4895422677403852,0.08691340144373862,0.8950333909436675,0.566769789318853,0.7646036947803186,,
